seal_name,seal_path,seal_interpretation,processed_name,processed_path,image_name,image_path,front_page,type,property
48(2)_4.jpg,@/assets/data/Seals/48(2)_4.jpg,小乘客,48-03-小乘客.jpg,@/assets/data/Processed/48-03-小乘客.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,zhuwen,collection
48(2)_5.jpg,@/assets/data/Seals/48(2)_5.jpg,眼中之人吾老矣,48-01-眼中之人吾老矣.jpg,@/assets/data/Processed/48-01-眼中之人吾老矣.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,baiwen,personal
48(2)_6.jpg,@/assets/data/Seals/48(2)_6.jpg,虚齋鑑藏,48-13-虚齋鑑藏.jpg,@/assets/data/Processed/48-13-虚齋鑑藏.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,zhuwen,collection
48(2)_7.jpg,@/assets/data/Seals/48(2)_7.jpg,新安項源漢泉氏一字曰芝房印記,48-14-新安項源漢泉氏一字曰芝房印記.jpg,@/assets/data/Processed/48-14-新安項源漢泉氏一字曰芝房印記.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,zhuwen,collection
49_0.jpg,@/assets/data/Seals/49_0.jpg,苦瓜和尚,49-03-苦瓜和尚.jpg,@/assets/data/Processed/49-03-苦瓜和尚.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,baiwen,personal
49_1.jpg,@/assets/data/Seals/49_1.jpg,百峰中箬笠翁圖書,49-04-百峰中箬笠翁圖書.jpg,@/assets/data/Processed/49-04-百峰中箬笠翁圖書.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,baiwen,collection
49_2.jpg,@/assets/data/Seals/49_2.jpg,枝下人,49-01-枝下人.jpg,@/assets/data/Processed/49-01-枝下人.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,zhuwen,collection
49_3.jpg,@/assets/data/Seals/49_3.jpg,臣僧元濟,49-02-臣僧元濟.jpg,@/assets/data/Processed/49-02-臣僧元濟.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,baiwen,personal
49_4.jpg,@/assets/data/Seals/49_4.jpg,廙軒,49-06-廙軒.jpg,@/assets/data/Processed/49-06-廙軒.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,zhuwen,collection
49_5.jpg,@/assets/data/Seals/49_5.jpg,震佑印信,49-07-震佑印信.jpg,@/assets/data/Processed/49-07-震佑印信.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,zhuwen,collection
49_6.jpg,@/assets/data/Seals/49_6.jpg,程氏家藏,49-08-程氏家藏.jpg,@/assets/data/Processed/49-08-程氏家藏.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,zhuwen,collection
49_7.jpg,@/assets/data/Seals/49_7.jpg,蔚起堂章,49-09-蔚起堂章.jpg,@/assets/data/Processed/49-09-蔚起堂章.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,baiwen,collection
49_8.jpg,@/assets/data/Seals/49_8.jpg,夏山樓藏書畫記,49-05-夏山樓藏書畫記.jpg,@/assets/data/Processed/49-05-夏山樓藏書畫記.jpg,49.jpg,@/assets/data/Images/49.jpg,49.jpg,zhuwen,collection
52_0.jpg,@/assets/data/Seals/52_0.jpg,曾熙之印,52-25-曾熙之印.jpg,@/assets/data/Processed/52-25-曾熙之印.jpg,52.jpg,@/assets/data/Images/52.jpg,52.jpg,baiwen,collection
52_1.jpg,@/assets/data/Seals/52_1.jpg,海日廔,52-24-海日廔.jpg,@/assets/data/Processed/52-24-海日廔.jpg,52.jpg,@/assets/data/Images/52.jpg,52.jpg,baiwen,collection
